classification_seed_id,source_object_type,source_object_id,document_id,page_no,page_block_order,block_type,policy_item_candidate,suggested_resource_type,resource_type_keyword_hits,resource_type_confidence,primary_strategy_id,primary_strategy_label,secondary_strategy_ids,strategy_confidence,tech_domain_id,tech_domain_label,tech_subdomain_id,tech_subdomain_label,tech_domain_confidence,review_status,auto_suggestion_notes,reviewer_notes,text
CLS-SEED-DOC-POL-010-00092,paragraph_unit,PAR-DOC-POL-010-00092,DOC-POL-010,section7,55,bullet,yes,,,low,,,,,TD-002,에너지,,,high,review_required,tech_score=11,,"ㅇ (난제 해결) 교통, 의료, 에너지, 농식품, 국방, 재난안전 등 주요 경제·사회 분야별 난제 해결을 위한 기술적 솔루션 제공"
CLS-SEED-DOC-POL-010-00093,paragraph_unit,PAR-DOC-POL-010-00093,DOC-POL-010,section7,56,note,review,,,low,STR-009,미래 모빌리티(자율주행·UAM),STR-003,low,TD-002,에너지,TSD-002-001,재생에너지,high,review_required,primary_score=5; secondary_score=4 | tech_score=14; subdomain=TSD-002-001,,※ (관련 국정과제) ◈ 미래 모빌리티와 ‘K-AI 시티’ 실현 ◈ 의료AI·제약·바이오헬스 강국 실현 ◈ 재생에너지 중심 에너지 대전환 ◈ 국가전략산업으로 농업 육성 ◈ 재난 피해 최소화를 위한 예방·대응 강화 ◈ K-방산육성 및 획득체계 혁신
CLS-SEED-DOC-POL-010-00094,paragraph_unit,PAR-DOC-POL-010-00094,DOC-POL-010,section7,57,bullet,yes,talent,인력|양성,high,,,,,,,,,,review_required,,,"ㅇ (정책지원·인력양성) 국가 과학기술정책 수립의 허브*로서 인적·물적자원 지원, 과학기술 전 분야 우수인력양성 수행"
CLS-SEED-DOC-POL-010-00095,paragraph_unit,PAR-DOC-POL-010-00095,DOC-POL-010,section7,58,note,review,infrastructure_policy,센터,medium,,,,,,,,,,review_required,,,"* (사례) 「과학기술기본법」에 따른 국가기술전략센터(ETRI, KIST 등 6개 출연연 지정)"
CLS-SEED-DOC-POL-010-00096,paragraph_unit,PAR-DOC-POL-010-00096,DOC-POL-010,section7,59,bullet,yes,technology,개발|실증,high,,,,,,,,,,review_required,,,"ㅇ (기업·지역역량 제고) 중소·중견기업 지원을 위한 기술실증 및 사업화 지원*, 지역역량 제고를 위한 지역특화 연구개발 지원"
CLS-SEED-DOC-POL-010-00097,paragraph_unit,PAR-DOC-POL-010-00097,DOC-POL-010,section7,60,note,review,,,low,,,,,,,,,,review_required,,,"* 중소·중견기업 대상 연간 10만여 건의 기술지도, 시험·인증, 시제품 제작 등 지원 중"
CLS-SEED-DOC-POL-010-00098,paragraph_unit,PAR-DOC-POL-010-00098,DOC-POL-010,section7,61,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (인건비 전액 지원) 매년 종료되는 정부수탁과제(연 4천억원, 총 2조원)을 기관출연금으로 전환, 기관출연금과 계속과제로 인건비 전액 지원 ’26년~"
CLS-SEED-DOC-POL-010-00099,paragraph_unit,PAR-DOC-POL-010-00099,DOC-POL-010,section7,62,note,review,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,"※ 2030년 전체 예산의 80%, 소요 인건비 전체를 기관출연금으로 충당"
CLS-SEED-DOC-POL-010-00100,paragraph_unit,PAR-DOC-POL-010-00100,DOC-POL-010,section7,63,bullet,yes,technology,확보,medium,,,,,,,,,,review_required,,,⇒ ’26년부터 인건비 확보만을 위한 신규수탁은 불필요
CLS-SEED-DOC-POL-010-00101,paragraph_unit,PAR-DOC-POL-010-00101,DOC-POL-010,section7,64,note,review,,,low,,,,,,,,,,review_required,,,※ 정부수탁은 정책적으로 필요한 사업에 한정(과제 담당부처와 수탁기관이 자율 판단)
CLS-SEED-DOC-POL-010-00102,paragraph_unit,PAR-DOC-POL-010-00102,DOC-POL-010,section7,65,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 과학기술분야 정부출연연구기관 인건비(정규직) 수입구조 변화 ]
CLS-SEED-DOC-POL-010-00103,paragraph_unit,PAR-DOC-POL-010-00103,DOC-POL-010,section7,66,note,review,,,low,,,,,,,,,,review_required,,,"※ 본 그림은 전체 23개 출연(연) 전체를 대상으로 한 개념도이며, 개별 기관별 비중은 상이"
CLS-SEED-DOC-POL-010-00104,paragraph_unit,PAR-DOC-POL-010-00104,DOC-POL-010,section7,67,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (인건비·간접비 편성) 인건비 운영의 유연성*, 과제중심 인센티브 체계**를 고려하여 전략연구사업에서 인건비·간접비를 계상 ’26년~"
CLS-SEED-DOC-POL-010-00105,paragraph_unit,PAR-DOC-POL-010-00105,DOC-POL-010,section7,68,note,review,,,low,,,,,,,,,,review_required,,,* 인건비 규모가 정해진 기관운영비에 비해 직접비 내에서 인건비를 자율적 운영 가능
CLS-SEED-DOC-POL-010-00106,paragraph_unit,PAR-DOC-POL-010-00106,DOC-POL-010,section7,69,note,review,technology,개발,medium,,,,,,,,,,review_required,,,"** 연구수당(인건비의 최대 20%), 연구개발능률성과급(간접비의 최대 10%)가 과제 규모와 연동되어 있으므로, 인건비 분리 시 직접비·간접비 감소에 따른 총 인센티브 축소 우려"
CLS-SEED-DOC-POL-010-00107,paragraph_unit,PAR-DOC-POL-010-00107,DOC-POL-010,section7,70,bullet,yes,technology,확보,medium,,,,,,,,,,review_required,,,"- 기관출연금이 충분히 확보되고, 인센티브 체계 개편이 이루어진 후 인건비, 간접비를 기관운영비로 분리 편성 중장기"
CLS-SEED-DOC-POL-010-00108,paragraph_unit,PAR-DOC-POL-010-00108,DOC-POL-010,section7,71,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (수탁인건비 계상 폐지) 인건비 전체를 기관출연금으로 충당한 후, 수탁과제에서 인건비를 현금으로 계상하지 않도록 규정* 개정 중장기"
CLS-SEED-DOC-POL-010-00109,paragraph_unit,PAR-DOC-POL-010-00109,DOC-POL-010,section7,72,note,review,technology,개발,medium,,,,,,,,,,review_required,,,* 「국가연구개발사업 연구개발비 사용 기준」
CLS-SEED-DOC-POL-010-00110,paragraph_unit,PAR-DOC-POL-010-00110,DOC-POL-010,section7,73,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (기관출연금 체계화) 기관출연금을 기관 자체 수요에 따른 ’기본연구사업‘과 정부·기업수요 기반으로 운영하는 ’전략연구사업‘으로 유형화 ’26년~
CLS-SEED-DOC-POL-010-00111,paragraph_unit,PAR-DOC-POL-010-00111,DOC-POL-010,section7,74,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 기본연구사업은 안정적인 규모를 유지하며, 기관별 ’기본연구사업(자체수요)‘와 ’전략연구사업+외부수탁(외부수요)‘을 균형있게 지원"
CLS-SEED-DOC-POL-010-00112,paragraph_unit,PAR-DOC-POL-010-00112,DOC-POL-010,section7,75,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 출연(연)의 정부수요 반영체계 변화 ]
CLS-SEED-DOC-POL-010-00113,paragraph_unit,PAR-DOC-POL-010-00113,DOC-POL-010,section7,76,bullet,yes,infrastructure_policy,협의체,medium,,,,,,,,,,review_required,,,"ㅇ (산-연-정 협의체 신설) 출연(연), 산업계, 관계부처가 모여 전략연구사업 주요사항을 심의·의결하는 ‘전략연구사업 운영위원회’ 신설 ’26년~"
CLS-SEED-DOC-POL-010-00114,paragraph_unit,PAR-DOC-POL-010-00114,DOC-POL-010,section7,77,note,review,,,low,,,,,,,,,,review_required,,,"※ 출연(연) 기관장, 산업계 주요 협･단체, 관계부처 국장급 참여"
CLS-SEED-DOC-POL-010-00115,paragraph_unit,PAR-DOC-POL-010-00115,DOC-POL-010,section7,78,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (전략연구 지원기구 신설) 전략연구사업의 ‘기획조정·보완 → 점검·평가 → 성과확산’을 지원하는 ‘전략연구지원단’을 연구회 내 설치 ’26년~
CLS-SEED-DOC-POL-010-00116,paragraph_unit,PAR-DOC-POL-010-00116,DOC-POL-010,section7,79,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 개방형 운영을 통해 분야별 외부 전문가 중심으로 운영하며, 각 출연(연)이 기획·수행하는 사업에 대한 조정·보완에 집중"
CLS-SEED-DOC-POL-010-00117,paragraph_unit,PAR-DOC-POL-010-00117,DOC-POL-010,section7,80,note,review,,,low,,,,,,,,,,review_required,,,"※ 전략연구사업에 대한 단계·최종평가 실시, 창출 성과에 대한 실용화·사업화 지원"
CLS-SEED-DOC-POL-010-00118,paragraph_unit,PAR-DOC-POL-010-00118,DOC-POL-010,section7,81,bullet,yes,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,ㅇ (수요기반 기획절차 운영) 수요를 바탕으로 운영위-지원단-출연(연) 간 유기적 연계를 통해 차년도 전략연구사업 예산요구과제 결정 ’26년~
CLS-SEED-DOC-POL-010-00119,paragraph_unit,PAR-DOC-POL-010-00119,DOC-POL-010,section7,82,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (평가체계 개편) 기존 다수·양적 평가지표를 대표·질적 연구성과 중심으로 명확화하고 전문 평가단이 절대평가 실시 ’25년~
CLS-SEED-DOC-POL-010-00120,paragraph_unit,PAR-DOC-POL-010-00120,DOC-POL-010,section7,83,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 현재 기관운영평가(3년), 연구사업평가(6년)로 이원화된 평가방식을 단일 평가체계(매년)로 통합"
CLS-SEED-DOC-POL-010-00121,paragraph_unit,PAR-DOC-POL-010-00121,DOC-POL-010,section7,84,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 계획에 대한 별도 평가는 폐지하고, 대외 공개(경영공시 항목에 포함)하는 것으로 대체하여 관계 전문가·일반 국민의 개방형 검증 유도"
CLS-SEED-DOC-POL-010-00122,paragraph_unit,PAR-DOC-POL-010-00122,DOC-POL-010,section7,85,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 실적보고서를 30페이지(기존 증빙포함 1,000p 이상) 이내로 간소화하여 평가를 위한 서류작업 부담 최소화"
CLS-SEED-DOC-POL-010-00123,paragraph_unit,PAR-DOC-POL-010-00123,DOC-POL-010,section7,86,bullet,yes,talent,연구자,medium,,,,,,,,,,review_required,,,"ㅇ (평가결과 환류강화) 내실있는 평가를 위해 통합평가 성과급 및 우수연구자 상여금 연계, 경상경비 증가율* 및 업무추진비 등 차등 적용 ’26년~"
CLS-SEED-DOC-POL-010-00124,paragraph_unit,PAR-DOC-POL-010-00124,DOC-POL-010,section7,87,note,review,,,low,,,,,,,,,,review_required,,,* (우수 등급 이상) 기준대비 0.5%p 증액 / (미흡 등급 이하) 기준 대비 0.5%p 감액
CLS-SEED-DOC-POL-010-00125,paragraph_unit,PAR-DOC-POL-010-00125,DOC-POL-010,section7,88,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 등급별 평가결과에 따른 환류방식(안) ]
CLS-SEED-DOC-POL-010-00126,paragraph_unit,PAR-DOC-POL-010-00126,DOC-POL-010,section7,89,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (기관장 연임연계 폐지) 기관평가 결과와 기관장 재선임 요건 간 연계를 폐지하고 연임 희망 시 차기 기관장 공모 참여를 통해 재선임 ’26년~
CLS-SEED-DOC-POL-010-00127,paragraph_unit,PAR-DOC-POL-010-00127,DOC-POL-010,section7,90,note,review,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,"※ 연임 활성화를 위해 우수등급 이상 획득 기관장에 대한 연임절차를 제도화(’14년)하였으나, 오히려 도입 후 연임 급감 (도입전 19건 (’99~’14년) → 도입후 3건)"
CLS-SEED-DOC-POL-010-00128,paragraph_unit,PAR-DOC-POL-010-00128,DOC-POL-010,section7,91,note,review,,,low,,,,,,,,,,review_required,,,※ 「과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률」 제12조 개정
CLS-SEED-DOC-POL-010-00129,paragraph_unit,PAR-DOC-POL-010-00129,DOC-POL-010,section7,92,paragraph,yes,,,low,,,,,,,,,,review_required,,,[ 통합평가 연계 인센티브 신설(안) ]
CLS-SEED-DOC-POL-010-00130,paragraph_unit,PAR-DOC-POL-010-00130,DOC-POL-010,section7,93,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (통합평가 성과급) 평가 결과에 따라 차등 지급되는 전 직원 대상 성과급을 신설하여 전직원 동기부여 강화 ’27년~
CLS-SEED-DOC-POL-010-00131,paragraph_unit,PAR-DOC-POL-010-00131,DOC-POL-010,section7,94,bullet,yes,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,- 평가 결과에 따른 기관별 성과급 소요를 차년도 예산 등에 반영하고 평가결과 통보 차년도에 지급
CLS-SEED-DOC-POL-010-00132,paragraph_unit,PAR-DOC-POL-010-00132,DOC-POL-010,section7,95,bullet,yes,talent,연구자,medium,,,,,,,,,,review_required,,,ㅇ (우수 연구진 상여금) 평가 결과에 따라 성과 기여도가 높은 우수 연구자 또는 연구팀 대상 파격적 상여금(가칭STAR* 상여금) 신설 ’26년~
CLS-SEED-DOC-POL-010-00133,paragraph_unit,PAR-DOC-POL-010-00133,DOC-POL-010,section7,96,note,review,,,low,,,,,,,,,,review_required,,,* (STAR) Supreme Talent & Achievement Researcher
CLS-SEED-DOC-POL-010-00134,paragraph_unit,PAR-DOC-POL-010-00134,DOC-POL-010,section7,97,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 기관평가 이후 후보군 선정 및 이사회에 보고(연말), 대상자 공개 및 성과를 홍보하여 대표 연구진의 자긍심 고취"
CLS-SEED-DOC-POL-010-00135,paragraph_unit,PAR-DOC-POL-010-00135,DOC-POL-010,section7,98,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (기술료 수입 활용) 기술료 수입 사용용도 중 ‘연구개발 재투자 및 기관운영경비’*의 일부를 상여금** 및 우수연구자 유치수당*** 등으로 활용 ’26년~
CLS-SEED-DOC-POL-010-00136,paragraph_unit,PAR-DOC-POL-010-00136,DOC-POL-010,section7,99,note,review,technology,개발,medium,,,,,,,,,,review_required,,,* 정부지분기술료의 15% 이내(국가연구개발혁신법 시행령 제41조②)
CLS-SEED-DOC-POL-010-00137,paragraph_unit,PAR-DOC-POL-010-00137,DOC-POL-010,section7,100,note,review,talent,연구자,medium,,,,,,,,,,review_required,,,** 연구회가 지급하는 우수연구자 상여금에 더해 기관별 추가상여금 지급(국비 지급분 이내)
CLS-SEED-DOC-POL-010-00138,paragraph_unit,PAR-DOC-POL-010-00138,DOC-POL-010,section7,101,note,review,,,low,,,,,,,,,,review_required,,,*** 확보가 시급하나 민간과 보수격차가 극심한 분야(AI 등) 연구자 유치를 위한 특수수당 등
CLS-SEED-DOC-POL-010-00139,paragraph_unit,PAR-DOC-POL-010-00139,DOC-POL-010,section7,102,bullet,yes,,,low,,,,,,,,,,review_required,,,"- 해당 비용은 총인건비 인상률 산정 제외 특례를 적용하며 대상, 지급필요성, 규모 등 구체적 사항은 이사회 의결 후 지급"
CLS-SEED-DOC-POL-010-00140,paragraph_unit,PAR-DOC-POL-010-00140,DOC-POL-010,section7,103,bullet,yes,technology,개발,medium,,,,,,,,,,review_required,,,ㅇ (기존 인센티브 재편) 성과와 관계없이 연구과제 수탁규모에 연동되어 있는 현행 인센티브(연구수당·연구개발능률성과급) 재편 추진 ’26년~
CLS-SEED-DOC-POL-010-00141,paragraph_unit,PAR-DOC-POL-010-00141,DOC-POL-010,section7,104,note,review,,,low,,,,,,,,,,review_required,,,"※ ’26년 중 정책연구 착수, 현장의견 수렴 및 공감대 형성 후 확정"
CLS-SEED-DOC-POL-010-00142,paragraph_unit,PAR-DOC-POL-010-00142,DOC-POL-010,section7,105,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (처우개선) 출연(연) 구성원의 전반적인 처우 수준을 지속 개선 ’26년~
CLS-SEED-DOC-POL-010-00143,paragraph_unit,PAR-DOC-POL-010-00143,DOC-POL-010,section7,106,bullet,yes,talent,교수,medium,,,,,,,,,,review_required,,,ㅇ (외부강의료 상향) 대학교수 등 외부 전문직군과 동일하게 외부 강의료 기준 상향 추진 ’26년~
CLS-SEED-DOC-POL-010-00144,paragraph_unit,PAR-DOC-POL-010-00144,DOC-POL-010,section7,107,note,review,talent,교수|연구자,high,,,,,,,,,,review_required,,,※ (현황 및 문제점) 현재 「청탁금지법」에 따라 출연(연) 연구자들은 강연·평가 등 외부 활동 시 대학교수와 동등한 업무를 수행하는 경우에도 강의료 차이 발생 중
CLS-SEED-DOC-POL-010-00145,paragraph_unit,PAR-DOC-POL-010-00145,DOC-POL-010,section7,108,bullet,yes,talent,인력|채용,high,,,,,,,,,,review_required,,,ㅇ (연구인력 특별채용 확대) 박사후연구원 등 연구인력에 대한 수시 특별채용을 허용하여 우수 인력을 적재적소에 활용 ’26년~
CLS-SEED-DOC-POL-010-00146,paragraph_unit,PAR-DOC-POL-010-00146,DOC-POL-010,section7,109,note,review,talent,인력|채용,high,,,,,,,,,,review_required,,,"※ (현황 및 문제점) 현재 수시 특별채용은 국가특임연구원에 대해서만 실시하고 있으나, 일반 연구인력은 정기적으로 채용하여 수시 인력수요에 대응하는데 한계"
CLS-SEED-DOC-POL-010-00147,paragraph_unit,PAR-DOC-POL-010-00147,DOC-POL-010,section7,110,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (블라인드채용 탄력적 운영) 출연(연) 블라인드 채용제도가 합리적 ·탄력적으로 운영되도록 심사위원에게 채용서류 원문 제공 ’26년~
CLS-SEED-DOC-POL-010-00148,paragraph_unit,PAR-DOC-POL-010-00148,DOC-POL-010,section7,111,note,review,,,low,,,,,,,,,,review_required,,,"※ (현황) 관계 법령에 근거하여 연령, 성별, 종교 등 직무와 무관한 인적사항은 수집 금지하고 있으며, 블라인드 채용제도 개선(’22년) 이후 학력, 논문, 추천서 등의 정보를 수집 가능"
CLS-SEED-DOC-POL-010-00149,paragraph_unit,PAR-DOC-POL-010-00149,DOC-POL-010,section7,112,note,review,talent,채용,medium,,,,,,,,,,review_required,,,※ (문제점) 인사담당자는 감사 부담 등을 이유로 이름 등 개인이 특정되는 항목은 심사위원에게 공란처리 제공 → 심사위원들은 블라인드 채용이 개선되지 않았다고 인식
CLS-SEED-DOC-POL-010-00150,paragraph_unit,PAR-DOC-POL-010-00150,DOC-POL-010,section7,113,note,review,talent,채용,medium,,,,,,,,,,review_required,,,"※ (개선) 간접정보 수집에 대해 인사담당자 면책의 근거를 마련하고 심사위원에게 채용서류 원문(이름 포함)을 제공, 지원자가 고의적으로 수집금지 정보 노출 시 심사위원 판단 하에 제한적으로 불이익 조치 실시"
CLS-SEED-DOC-POL-010-00151,paragraph_unit,PAR-DOC-POL-010-00151,DOC-POL-010,section7,114,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (고경력연구자 지원) 임금피크제* 폐지 검토, 기 운영중인 ‘우수연구원 제도’ 대상확대 등 추진 ’26년~"
CLS-SEED-DOC-POL-010-00152,paragraph_unit,PAR-DOC-POL-010-00152,DOC-POL-010,section7,115,note,review,talent,연구자,medium,,,,,,,,,,review_required,,,* '15년부터 정년연장 없이 임금피크제 도입하여 고경력연구자 임금 및 처우 악화
CLS-SEED-DOC-POL-010-00153,paragraph_unit,PAR-DOC-POL-010-00153,DOC-POL-010,section7,116,paragraph,yes,infrastructure_policy,제도,medium,,,,,,,,,,review_required,,,[ 출연(연) 정년 후 연구제도 ]
CLS-SEED-DOC-POL-010-00154,paragraph_unit,PAR-DOC-POL-010-00154,DOC-POL-010,section7,117,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (보수체계 표준화) 23개 출연(연) 보수‧직급체계 전수조사·분석을 기반으로 全 기관 보수체계 표준안 마련 (인센티브 재편 연계) ’26년~
CLS-SEED-DOC-POL-010-00155,paragraph_unit,PAR-DOC-POL-010-00155,DOC-POL-010,section7,118,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (연구행정 전문화) 연구직의 파트너로서 연구행정·지원직의 가치를 인정하여 전문직에 상응하는 직종, 처우 및 성장사다리 마련 ’26년~"
CLS-SEED-DOC-POL-010-00156,paragraph_unit,PAR-DOC-POL-010-00156,DOC-POL-010,section7,119,bullet,yes,technology,개발,medium,,,,,,,,,,review_required,,,"- 직종별 직무 분석을 거쳐 전문 연구행정 직종*·칭호 개발, 경력경로 설정 등 연구행정·지원직의 전문직화로 자긍심 고취"
CLS-SEED-DOC-POL-010-00157,paragraph_unit,PAR-DOC-POL-010-00157,DOC-POL-010,section7,120,note,review,technology,장비,medium,,,,,,,,,,review_required,,,"* (예: Staff scientist) 연구장비 운영, 실험실 안전관리, 연구비 관리 등을 전담 지원하는 정규직"
CLS-SEED-DOC-POL-010-00158,paragraph_unit,PAR-DOC-POL-010-00158,DOC-POL-010,section7,121,bullet,yes,infrastructure_policy,인프라,medium,,,,,,,,,,review_required,,,ㅇ (전산인프라 통합 운영) 전산인프라 통합 운영으로 시설 운영비용 효율화 및 데이터 보안･인프라 안정성 등 필수 기능 강화 ’26년~
CLS-SEED-DOC-POL-010-00159,paragraph_unit,PAR-DOC-POL-010-00159,DOC-POL-010,section7,122,bullet,yes,technology,장비,medium,,,,,TD-001,인공지능,TSD-001-005,데이터 구축·처리,medium,review_required,tech_score=6; subdomain=TSD-001-005,,"- 장기적으로 GPU 등 연구장비 공동활용·통합관리, 연구데이터 통합 분석·활용 등 AI 연구기반 구축·활성화"
CLS-SEED-DOC-POL-010-00160,paragraph_unit,PAR-DOC-POL-010-00160,DOC-POL-010,section7,123,heading,no,infrastructure_policy,인프라,medium,,,,,,,,,,review_required,auto_filtered=front_matter,,【 전산인프라 통합 운영 예시 : GPU 자원 공동활용(안) 】
CLS-SEED-DOC-POL-010-00161,paragraph_unit,PAR-DOC-POL-010-00161,DOC-POL-010,section7,124,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ (공통행정 전문화) 기관별 공통행정 기능을 연구회 중심으로 전문화 → 공통행정 역량 제고 및 전문화된 서비스 제공 ’26년~
CLS-SEED-DOC-POL-010-00162,paragraph_unit,PAR-DOC-POL-010-00162,DOC-POL-010,section7,125,note,review,,,low,,,,,,,,,,review_required,,,※ 충분한 현장 의견수렴과 공감대 형성을 통해 대상 직무 및 규모 결정
CLS-SEED-DOC-POL-010-00163,paragraph_unit,PAR-DOC-POL-010-00163,DOC-POL-010,section7,126,bullet,yes,talent,인력,medium,,,,,,,,,,review_required,,,ㅇ (인력교류 활성화) 연구회-출연(연) 행정직 간 인력교류를 활성화하여 출연(연) 전반의 행정역량 제고 ’26년~
CLS-SEED-DOC-POL-010-00164,paragraph_unit,PAR-DOC-POL-010-00164,DOC-POL-010,section7,127,bullet,yes,infrastructure_policy,예산,medium,,,,,,,,,,review_required,,,ㅇ (운영체계) 공공기관 지정해제(유보) 취지를 반영하여 조직·인사·예산 운영의 자율성 원칙 명시
CLS-SEED-DOC-POL-010-00165,paragraph_unit,PAR-DOC-POL-010-00165,DOC-POL-010,section7,128,bullet,yes,talent,인재|인력,high,,,,,,,,,,review_required,,,"ㅇ (육성·지원) 인력개발·우수인재 유치, 개방형 혁신 등 적극적 출연(연) 육성·지원을 위한 법적 기틀 마련"
CLS-SEED-DOC-POL-010-00166,paragraph_unit,PAR-DOC-POL-010-00166,DOC-POL-010,section7,129,bullet,yes,infrastructure_policy,거버넌스,medium,,,,,,,,,,review_required,,,ㅇ (거버넌스) 과기정통부(정책방향 제시)-연구회(출연(연) 간 협력 지원)-출연(연)(임무·역할 수행) 간 유기적 협력체계 명확화
CLS-SEED-DOC-POL-010-00167,paragraph_unit,PAR-DOC-POL-010-00167,DOC-POL-010,section7,130,bullet,yes,technology,개발|확보,high,,,,,,,,,,review_required,,,"ㅇ (유휴부지 개발) 공동관리아파트 부지* 개발을 통해 해외 연구자 정주, 과학문화 공간, 연구회 운영공간 확보 등 종합 개발 ’26년~"
CLS-SEED-DOC-POL-010-00168,paragraph_unit,PAR-DOC-POL-010-00168,DOC-POL-010,section7,131,note,review,talent,연구자,medium,,,,,,,,,,review_required,,,* `79년 연구자 정주여건 보장을 위해 건립(약 8천 평 규모) → `12년 이후 장기간 방치
CLS-SEED-DOC-POL-010-00169,paragraph_unit,PAR-DOC-POL-010-00169,DOC-POL-010,section7,132,note,review,,,low,,,,,,,,,,review_required,,,※ (계획) 예비타당성조사 기획착수(’25.하) → 신청(’26년) → 기본계획 수립(’27년)
CLS-SEED-DOC-POL-010-00170,paragraph_unit,PAR-DOC-POL-010-00170,DOC-POL-010,section7,133,bullet,yes,talent,채용,medium,,,,,,,,,,review_required,,,ㅇ (일·가정 양립지원) 육아휴직 결원을 보충하기 위한 정규직 채용 적극 권고* ’26년~
CLS-SEED-DOC-POL-010-00171,paragraph_unit,PAR-DOC-POL-010-00171,DOC-POL-010,section7,134,note,review,talent,인력|채용,high,,,,,,,,,,review_required,,,* 당초 육아휴직 대체인력은 비정규직으로 채용하여 박사급 인력 충원 곤란 → 출연(연) 운영규정 제정(`25.3월) 이후 정규직 채용이 가능함을 명시화 하였으나 현장 안착 미진
CLS-SEED-DOC-POL-010-00172,paragraph_unit,PAR-DOC-POL-010-00172,DOC-POL-010,section7,135,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (연구보안 강화) 외국인 대상 연구보안 관리를 강화*하고, 연구보안책임자를 상향(부서장→부원장급)하여 관리책임 부여** ’26년~"
CLS-SEED-DOC-POL-010-00173,paragraph_unit,PAR-DOC-POL-010-00173,DOC-POL-010,section7,136,note,review,,,low,,,,,,,,,,review_required,,,* 국내 출연(연) 방문 외국인 과학자에 보안서약서를 징구(필요시 신원확인 수행)
CLS-SEED-DOC-POL-010-00174,paragraph_unit,PAR-DOC-POL-010-00174,DOC-POL-010,section7,137,note,review,talent,교육,medium,,,,,,,,,,review_required,,,** 보안교육 및 국외 파견·출장자에 대한 관리책임 부여
CLS-SEED-DOC-POL-010-00175,paragraph_unit,PAR-DOC-POL-010-00175,DOC-POL-010,section7,138,bullet,yes,,,low,,,,,,,,,,review_required,,,"ㅇ (연구회 기능 정비) 법률에 명시된 기능과 책무 중심으로 연구회의 기능 보완*, 의결기구(이사회) - 집행기구(사무기구) 간 분리 추진 ’26년~"
CLS-SEED-DOC-POL-010-00176,paragraph_unit,PAR-DOC-POL-010-00176,DOC-POL-010,section7,139,note,review,,,low,,,,,,,,,,review_required,,,"* 전략연구지원단, 공통행정 전문화 등 연구회 사무 확대에 따른 기능 보완"
CLS-SEED-DOC-POL-010-00177,paragraph_unit,PAR-DOC-POL-010-00177,DOC-POL-010,section7,140,bullet,yes,,,low,,,,,,,,,,review_required,,,□ 주요 추진과제별 세부 이행계획 마련 (~’26.상반기)
CLS-SEED-DOC-POL-010-00178,paragraph_unit,PAR-DOC-POL-010-00178,DOC-POL-010,section7,141,bullet,yes,infrastructure_policy,협의체,medium,,,,,,,,,,review_required,,,"ㅇ 전략연구사업 운영방안 (기획절차, 산-연-정 협의체 운영)"
CLS-SEED-DOC-POL-010-00179,paragraph_unit,PAR-DOC-POL-010-00179,DOC-POL-010,section7,142,bullet,yes,,,low,,,,,,,,,,review_required,,,ㅇ「과기출연기관법」개정방안
CLS-SEED-DOC-POL-010-00180,paragraph_unit,PAR-DOC-POL-010-00180,DOC-POL-010,section7,143,bullet,yes,,,low,,,,,,,,,,review_required,,,□ 추진과제 이행 (’26~)
CLS-SEED-DOC-POL-010-00181,paragraph_unit,PAR-DOC-POL-010-00181,DOC-POL-010,section7,144,bullet,yes,infrastructure_policy,협의체,medium,,,,,,,,,,review_required,,,ㅇ 전략연구사업 기획절차 착수 (’26.1~) 및 협의체 구성 (’26.1분기)
